F20M-38 [F20M - ATI-Falcon 2.0-Mobile] (Needs Clarifications / To Do) | SP: 0 | Summary: Remove resizability and orientation restrictions in your app to support large screen devices
F20M-37 [F20M - ATI-Falcon 2.0-Mobile] (Needs Clarifications / To Do) | SP: 0 | Summary: Your app uses deprecated APIs or parameters for edge-to-edge
F20M-36 [F20M - ATI-Falcon 2.0-Mobile] (Needs Clarifications / To Do) | SP: 0 | Summary: Edge-to-edge may not display for all users
F20M-34 [F20M - ATI-Falcon 2.0-Mobile] (Done / Done) | SP: 0 | Summary: Mobile UI
F20M-29 [F20M - ATI-Falcon 2.0-Mobile] (Done / Done) | SP: 0 | Summary: error submit attendance correction
F20M-27 [F20M - ATI-Falcon 2.0-Mobile] (Done / Done) | SP: 0 | Summary: Update Playstore Lib - App must support 16 KB memory page sizes
F20M-23 [F20M - ATI-Falcon 2.0-Mobile] (Done / Done) | SP: 0 | Summary: event detail, button check in masih muncul padahal di event date masih jauh
F20M-22 [F20M - ATI-Falcon 2.0-Mobile] (Done / Done) | SP: 0 | Summary: list team attendance load data langsung pindah ke atas lagi, seharusnya tidak
F20M-19 [F20M - ATI-Falcon 2.0-Mobile] (Blocked / In Progress) | SP: 0 | Summary: Create Sick Leave, Attachment is mandatory
F20M-12 [F20M - ATI-Falcon 2.0-Mobile] (Done / Done) | SP: 0 | Summary: Mobile
